cond,seed,step,kl_logged,genuine_correct,intermediate,leakage,format_valid
BASELINE,43,80,3.947317691199714e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,85,4.0738262669037795e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,90,4.935456172461272e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,43,95,4.934685057378374e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,100,5.1497549065970816e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,105,5.13077607138257e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,110,4.662904484575847e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,115,5.5498882375104586e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,120,4.587144030665513e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,125,3.9768891838321e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,130,5.076357410871424e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,43,135,4.007004872619291e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,140,4.798339432454668e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,43,145,6.359921417242731e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,150,4.119352524867281e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,44,5,4.213543434161693e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
BASELINE,44,10,8.205659560189815e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,44,15,0.00014550017658621073,0.6666666666666666,0.6666666666666666,0.0,1.0
BASELINE,44,20,4.386405271361582e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,44,25,9.24266096262727e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,44,30,5.435159891931107e-05,0.6190476190476191,0.6190476190476191,0.0,1.0
BASELINE,44,35,7.398167508654296e-05,0.7142857142857143,0.6666666666666666,0.0,1.0
BASELINE,44,40,7.652133172086906e-05,0.5238095238095238,0.42857142857142855,0.0,1.0
BASELINE,44,45,6.047302576916991e-05,0.5714285714285714,0.47619047619047616,0.0,1.0
BASELINE,44,50,5.8150491895503365e-05,0.5714285714285714,0.47619047619047616,0.0,1.0
BASELINE,44,55,9.234893195753102e-05,0.5714285714285714,0.47619047619047616,0.0,1.0
BASELINE,44,60,5.977035698379041e-05,0.5714285714285714,0.47619047619047616,0.0,1.0
BASELINE,44,65,7.834133157302858e-05,0.5714285714285714,0.47619047619047616,0.0,1.0
BASELINE,44,70,6.0994089380983496e-05,0.5714285714285714,0.47619047619047616,0.0,1.0
BASELINE,44,75,6.711457081109984e-05,0.5714285714285714,0.47619047619047616,0.0,1.0
BASELINE,44,80,8.276688276964705e-05,0.47619047619047616,0.47619047619047616,0.0,1.0
BASELINE,44,85,9.081384541786974e-05,0.47619047619047616,0.47619047619047616,0.0,1.0
